AnimalID,ADDMI_keep,ADG_keep,FCR,Gender,Management_Group,heterosis,mathet,perANS,perHHS,perARS,perSHS,perDSS,perBMS,perBRS,perBNS,perSGS,perBVS,perCHS,perCAS,perGVS,perLMS,perMAS,perSAS,perSMS,perTAS,perBVSo,perCHSo,perLMSo,perHH,perAN,perSM,perCH,perM2,perM3,perRS,perBV,perBR,perXB,perRO
20171370,9.904615385,1.37796839,7.187839325,Steer,201701_MI_ME01,0.5,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0,0,0,0,0.15625,0,0,0,0,0,0,0,0
20171677,10.99846154,1.525433271,7.210057462,Steer,201701_MI_ME01,1,1,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0.125,0,0,0,0,0,0,0
20171685,8.098461538,1.145096072,7.07229877,Steer,201701_MI_ME01,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
20171693,8.289230769,0.80728191,10.26807447,Steer,201701_MI_ME01,0.75,1,0,0.625,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0
20171696,11.37538462,0.710626596,16.00754134,Steer,201701_HI_MD01,1,1,0,0,0.5,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.125,0,0,0,0,0,0,0
20171706,8.492307692,1.076746205,7.887009633,Steer,201701_HI_ME01,1,0.25,0.5,0,0,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
20171707,9.4,1.166678689,8.05705983,Steer,201701_MI_MD01,1,1,0,0,0.1875,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0625,0,0,0,0,0,0,0,0,0
20171708,8.490769231,0.763681936,11.11820096,Steer,201701_HI_ME01,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0
20171709,11.42153846,1.905030691,5.995461655,Steer,201701_MI_ME01,1,1,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0
20171710,9.12,1.136391002,8.025406731,Steer,201701_MI_MD01,0.125,0.25,0.03125,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0
20171712,11.74461538,1.589034141,7.391040307,Steer,201701_HI_ME01,0.484375,0.96875,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0,0,0,0,0,0,0.125,0,0,0.03125,0,0,0,0,0,0
20171715,10.02769231,1.123302715,8.926972375,Steer,201701_MI_ME01,0.6875,0.875,0,0,0,0,0,0,0,0,0,0,0,0.75,0.1875,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171721,9.781538462,1.004539676,9.737334123,Steer,201701_MI_ME01,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0
20171723,10.18,1.25798977,8.092275662,Steer,201701_MI_MD01,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
20171726,10.09846154,1.278057751,7.901412537,Steer,201701_HI_MD01,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
20171728,12.43384615,1.353069129,9.18936504,Steer,201701_MI_MD01,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0
20171729,11.30923077,1.17412113,9.6320818,Steer,201701_HI_MD01,0.5,1,0.5,0,0.1875,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.125,0,0,0,0,0,0,0
20171731,10.22153846,1.196109377,8.545655324,Steer,201701_MI_ME01,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.25,0,0.125,0,0,0,0,0,0,0,0
20171739,9.467692308,1.235296752,7.664306001,Steer,201701_HI_ME01,0.984375,1,0,0.5,0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.03125,0,0,0,0,0
20171751,8.236923077,1.199681374,6.865925616,Steer,201701_MI_MD01,0.25,0.5,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0.0625,0.125,0,0,0,0,0,0,0,0
20171753,11.56769231,1.146626043,10.08846117,Steer,201701_HI_ME01,1,1,0.5,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.25,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0
20171755,10.70307692,1.129881535,9.472742578,Steer,201701_MI_MD01,0.96875,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.25,0
20171756,7.355384615,1.007736545,7.298916219,Steer,201701_HI_MD01,1,0.25,0,0.375,0.0625,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
20171758,7.696923077,1.273853827,6.042234133,Steer,201701_HI_MD01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.875,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171763,10.3,1.458024271,7.064354283,Steer,201701_HI_ME01,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0
20171770,9.575384615,1.253890477,7.636539864,Steer,201701_MI_MD01,1,1,0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0,0,0,0,0,0,0,0
20171772,10.00769231,1.222269331,8.187796301,Steer,201701_MI_MD01,1,0.921875,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.0625,0,0.125,0.5,0,0,0,0,0,0.03125,0,0,0,0.03125,0,0,0,0,0
20171774,10.92923077,1.28131307,8.529711457,Steer,201701_MI_ME01,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
20171775,11.72923077,1.264923729,9.272678269,Steer,201701_HI_ME01,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
20171777,11.16,1.775831009,6.28438176,Steer,201701_HI_ME01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.21875,0,0,0,0,0,0,0,0,0.03125,0,0.25,0,0,0,0,0,0,0
20171778,10.65384615,1.207035592,8.826455674,Steer,201701_MI_ME01,0.9375,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.21875,0,0,0,0.1875,0,0,0,0,0,0.03125,0.0625,0,0,0,0,0,0,0,0
20171779,10.36,1.491885041,6.944234787,Steer,201701_MI_ME01,1,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
20171784,10.17846154,1.624124266,6.267046033,Steer,201701_HI_MD01,0.375,0.75,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0.0625,0,0.125,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171785,8.847692308,1.144712449,7.729183267,Steer,201701_HI_ME01,1,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0.5,0,0.21875,0,0,0,0,0,0,0.0625,0,0,0.03125,0,0,0,0,0,0
20171787,10.91230769,1.532826972,7.119073381,Steer,201701_HI_ME01,1,1,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.25,0.125,0,0.5,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171789,9.804615385,1.094831423,8.955365348,Steer,201701_MI_ME01,0.0625,0.125,0.46875,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0
20171795,10.47230769,1.20102539,8.71947236,Steer,201701_MI_ME01,1,1,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
20171797,10.44153846,1.27113385,8.214350092,Steer,201701_HI_ME01,0.5,1,0,0,0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0
20171799,9.089230769,0.710731655,12.78855487,Steer,201701_HI_MD01,1,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.5,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
20171806,8.423076923,0.575713353,14.63067841,Steer,201701_HI_ME01,0.5,1,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0.0625,0,0.125,0,0,0,0,0,0,0,0
20171815,9.4,0.972961681,9.661223241,Steer,201701_HI_ME01,0.5,1,0,0,0.75,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
20171824,11.32,1.155556135,9.796148937,Steer,201701_MI_MD01,1,0,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0
20171826,11.64307692,1.191131708,9.774802273,Steer,201701_HI_ME01,0.5,1,0.5,0,0.1875,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.125,0,0,0,0,0,0,0
20171830,8.969230769,1.196497036,7.496241528,Steer,201701_MI_ME01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.875,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171833,10.97230769,1.517698335,7.229570882,Steer,201701_HI_ME01,1,1,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
20171834,9.386153846,1.124285723,8.348548461,Steer,201701_MI_ME01,0.546875,0.59375,0.0625,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
